Booking #,Sex,Race,Age,Book Date,,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,,
2025-01675,M,W,26,6/27/2025  5:00:00 PM,,6/29/2025  5:00:00 PM,2.00,079,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-01548,M,W,36,6/27/2025  6:00:00 PM,,6/28/2025  6:00:00 PM,1.00,137,SENTENCE SERVED,ASL1359M1,FIRST OFFENDER VIOLATION; ASSAULT AGAINST FAMILY,,
2025-01549,F,W,57,6/27/2025  6:00:00 PM,,6/28/2025  6:00:00 PM,1.00,109,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-01677,M,B,36,6/27/2025  6:00:00 PM,,6/27/2025  6:01:00 PM,1.00,137,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01678,M,B,37,6/27/2025  6:00:00 PM,,7/2/2025  6:00:00 PM,5.00,137,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01676,M,W,33,6/27/2025  6:08:00 PM,,7/1/2025  9:31:00 AM,3.64,085,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01551,M,B,40,6/27/2025  7:00:00 PM,,6/28/2025  7:06:00 PM,1.00,109,SENTENCE SERVED,DWI5447S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN 5 TO 10 YRS.,,
2025-01680,M,W,33,6/28/2025  3:55:00 AM,,6/28/2025  6:50:00 AM,1.00,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01681,M,W,40,6/28/2025  5:16:00 PM,,6/28/2025  7:00:00 PM,1.00,177,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01683,M,W,56,6/28/2025  6:36:00 PM,,7/11/2025  7:50:00 PM,13.05,109,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01682,F,B,23,6/28/2025  8:45:00 PM,,6/29/2025  10:05:00 AM,1.00,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-01689,M,B,20,6/29/2025  2:01:00 AM,,6/30/2025  12:51:00 PM,1.45,137,HOSPITAL/TREATMENT,TEL3197F6,TEL-POSSESSION OF CELLULAR PHONE BY PRISONER,,
2025-01684,M,W,66,6/29/2025  5:26:00 PM,,7/1/2025  4:19:00 PM,1.95,109,BOND,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-01685,M,W,42,6/29/2025  10:24:00 PM,,8/6/2025  2:00:00 PM,37.65,079,JUDGE,TRS5709M1,TRESPASS AFTER BEING FORBIDDEN TO DO SO,,
2025-01686,M,W,30,6/29/2025  10:24:00 PM,,8/22/2025  10:50:00 AM,53.52,079,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01686,M,W,30,6/29/2025  10:24:00 PM,,8/22/2025  10:50:00 AM,53.52,079,BOND,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-01686,M,W,30,6/29/2025  10:24:00 PM,,8/22/2025  10:50:00 AM,53.52,079,BOND,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-01686,M,W,30,6/29/2025  10:24:00 PM,,8/22/2025  10:50:00 AM,53.52,079,BOND,TRS5709M1,TRESPASS AFTER BEING FORBIDDEN TO DO SO,,
2025-01686,M,W,30,6/29/2025  10:24:00 PM,,8/22/2025  10:50:00 AM,53.52,079,BOND,VIO5320F6,VIOLENT ACTIVITIES WEARING OF MASKS OR HOODS IN CERTAIN PLACES,,
2025-01687,F,W,45,6/30/2025  12:27:00 AM,,7/23/2025  3:45:00 PM,23.64,079,SENTENCE SERVED,TRS5709M1,TRESPASS AFTER BEING FORBIDDEN TO DO SO,,
2025-01688,M,W,34,6/30/2025  1:50:00 AM,,6/30/2025  4:25:00 AM,1.00,079,BOND,TRS5709M1,TRESPASS AFTER BEING FORBIDDEN TO DO SO,,
2025-01690,M,W,56,6/30/2025  10:12:00 AM,,7/10/2025  1:02:00 PM,10.12,137,OUT OF STATE,ARR9986S9,ARRESTS (FOR USE BY STATE POLICE) FELONY ARREST WITHOUT WARRANT,,
2025-01691,M,B,68,6/30/2025  12:18:00 PM,,7/6/2025  12:11:00 AM,5.50,137,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01691,M,B,68,6/30/2025  12:18:00 PM,,7/6/2025  12:11:00 AM,5.50,137,BOND,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-01691,M,B,68,6/30/2025  12:18:00 PM,,7/6/2025  12:11:00 AM,5.50,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-01696,M,B,20,6/30/2025  12:52:00 PM,,9/25/2025  10:46:00 PM,87.41,137,STATUS CHANGE,TEL3197F6,TEL-POSSESSION OF CELLULAR PHONE BY PRISONER,,
2025-01692,F,W,47,6/30/2025  2:29:00 PM,,7/11/2025  6:50:00 PM,11.18,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01693,F,B,37,6/30/2025  2:29:00 PM,,7/4/2025  10:30:00 AM,3.83,047,JUDGE,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-01694,M,W,34,6/30/2025  3:25:00 PM,,7/1/2025  7:40:00 AM,1.00,079,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01694,M,W,34,6/30/2025  3:25:00 PM,,7/1/2025  7:40:00 AM,1.00,079,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01695,M,B,44,6/30/2025  5:18:00 PM,,7/7/2025  2:04:00 PM,6.87,109,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01697,M,W,32,6/30/2025  9:53:00 PM,,7/1/2025  8:55:00 AM,1.00,003,JUDGE,LAR2302F9,LARCENY $1000 OR MORE WITH INTENT TO SELL OR DISTRIBUTE,,
2025-01697,M,W,32,6/30/2025  9:53:00 PM,,7/1/2025  8:55:00 AM,1.00,003,JUDGE,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-01697,M,W,32,6/30/2025  9:53:00 PM,,7/1/2025  8:55:00 AM,1.00,003,JUDGE,TRS5717M1,TRESPASS INTENT TO DAMAGE PROPERTY/ INTERFERE W/PROPERTY RIGHTS,,
2025-01698,M,W,29,7/1/2025  5:05:00 AM,,10/12/2025  5:20:00 AM,103.01,047,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-01699,M,B,23,7/1/2025  9:18:00 AM,,11/18/2025  5:15:00 AM,139.83,079,DOC,CON3283S9,"DISOBEDIENCE/RESISTANCE OF AN OFFICER OF THE COURT, ETC.",,
2025-01699,M,B,23,7/1/2025  9:18:00 AM,,11/18/2025  5:15:00 AM,139.83,079,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01699,M,B,23,7/1/2025  9:18:00 AM,,11/18/2025  5:15:00 AM,139.83,079,DOC,WPN5296F6,"WEAPONS CONVICTED FELON (VIOLENT) POSSESS/TRANSPORT FIREARM, TASER, ETC.",,
2025-01700,M,W,31,7/1/2025  12:31:00 PM,,7/11/2025  10:54:00 AM,9.93,109,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01701,F,W,42,7/1/2025  12:31:00 PM,,7/1/2025  2:35:00 PM,1.00,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01702,M,B,43,7/1/2025  1:38:00 PM,,8/18/2025  8:00:00 AM,47.77,113,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01702,M,B,43,7/1/2025  1:38:00 PM,,8/18/2025  8:00:00 AM,47.77,113,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-01702,M,B,43,7/1/2025  1:38:00 PM,,8/18/2025  8:00:00 AM,47.77,113,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01702,M,B,43,7/1/2025  1:38:00 PM,,8/18/2025  8:00:00 AM,47.77,113,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-01703,F,W,22,7/1/2025  2:26:00 PM,,8/21/2025  10:35:00 AM,50.84,079,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01703,F,W,22,7/1/2025  2:26:00 PM,,8/21/2025  10:35:00 AM,50.84,079,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01705,F,W,42,7/1/2025  2:36:00 PM,,7/11/2025  5:05:00 PM,10.10,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01704,F,W,44,7/1/2025  6:12:00 PM,,7/1/2025  7:45:00 PM,1.00,065,BOND,FRD2520F5,FRAUD FORGERY,,
2025-01704,F,W,44,7/1/2025  6:12:00 PM,,7/1/2025  7:45:00 PM,1.00,065,BOND,FRD2521F5,FRAUD UTTERING,,
2025-01706,M,B,51,7/1/2025  11:30:00 PM,,7/2/2025  7:38:00 AM,1.00,109,STATUS CHANGE,NAR3043F9,NARCOTICS POSSESSION W/INTENT TO SELL - DISTRIBUTE - ETC.,,
2025-01706,M,B,51,7/1/2025  11:30:00 PM,,7/2/2025  7:38:00 AM,1.00,109,STATUS CHANGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01707,M,B,51,7/2/2025  7:39:00 AM,,7/10/2025  4:26:00 PM,8.37,109,HOSPITAL/TREATMENT,NAR3043F9,NARCOTICS POSSESSION W/INTENT TO SELL - DISTRIBUTE - ETC.,,
2025-01707,M,B,51,7/2/2025  7:39:00 AM,,7/10/2025  4:26:00 PM,8.37,109,HOSPITAL/TREATMENT,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01708,M,B,57,7/2/2025  11:23:00 AM,,7/2/2025  2:16:00 PM,1.00,137,BOND,FRD2514F4,FRAUD COINS OR BANK NOTES,,
2025-01709,M,B,22,7/2/2025  3:38:00 PM,,7/2/2025  6:13:00 PM,1.00,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01709,M,B,22,7/2/2025  3:38:00 PM,,7/2/2025  6:13:00 PM,1.00,137,BOND,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-01710,M,B,33,7/2/2025  4:29:00 PM,,9/18/2025  3:35:00 PM,77.96,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01710,M,B,33,7/2/2025  4:29:00 PM,,9/18/2025  3:35:00 PM,77.96,109,SENTENCE SERVED,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-01710,M,B,33,7/2/2025  4:29:00 PM,,9/18/2025  3:35:00 PM,77.96,109,SENTENCE SERVED,RAP1122M1,SEXUAL ASSAULT BATTERY - SEXUAL,,
2025-01711,M,W,51,7/2/2025  7:00:00 PM,,7/3/2025  7:00:00 PM,1.00,109,SENTENCE SERVED,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-01712,M,W,41,7/2/2025  10:56:00 PM,,9/2/2025  12:38:00 PM,61.57,109,DISMISSED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01713,F,W,23,7/3/2025  1:58:00 AM,,7/3/2025  3:07:00 PM,1.00,079,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01714,M,W,58,7/3/2025  4:15:00 AM,,7/3/2025  3:07:00 PM,1.00,079,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01715,F,W,34,7/3/2025  4:55:00 AM,,10/30/2025  8:00:00 AM,119.13,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01717,M,W,33,7/3/2025  9:12:00 AM,,7/24/2025  4:25:00 PM,21.30,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01718,M,W,39,7/3/2025  9:12:00 AM,,7/19/2025  8:00:00 AM,15.95,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01719,M,W,22,7/3/2025  9:12:00 AM,,8/13/2025  8:00:00 AM,40.95,047,SENTENCE SERVED,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-01720,M,B,65,7/3/2025  9:12:00 AM,,7/16/2025  8:00:00 AM,12.95,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01722,M,W,33,7/3/2025  9:12:00 AM,,10/10/2025  11:29:00 PM,99.60,047,HOSPITAL/TREATMENT,CBC4852M9,CBC - COMMUNITY-BASED PROBATION - MISDEMEANOR,,
2025-01722,M,W,33,7/3/2025  9:12:00 AM,,10/10/2025  11:29:00 PM,99.60,047,HOSPITAL/TREATMENT,LIC6867M1,"LIC - DRIVE W/OUT VALID LICENSE,2ND SUBSEQUENT",,
2025-01723,M,W,53,7/3/2025  9:12:00 AM,,10/22/2025  8:00:00 AM,110.95,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01724,M,W,39,7/3/2025  9:12:00 AM,,9/6/2025  8:00:00 AM,64.95,047,SENTENCE SERVED,DWI5447S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN 5 TO 10 YRS.,,
2025-01725,M,B,32,7/3/2025  9:12:00 AM,,7/19/2025  12:01:00 AM,15.62,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01726,M,W,35,7/3/2025  9:12:00 AM,,8/16/2025  8:00:00 AM,43.95,047,SENTENCE SERVED,PRT5001M1,VIOLATION OF PROTECTIVE ORDER (VIOLENCE) 2ND W/IN 5 YRS,,
2025-01732,M,W,72,7/3/2025  9:52:00 AM,,7/16/2025  8:10:00 PM,13.43,109,HOSPITAL/TREATMENT,RAP1121F9,SEXUAL ASSAULT VICTIM UNDER AGE 13,,
2025-01727,M,W,44,7/3/2025  11:29:00 AM,,7/7/2025  11:29:00 AM,4.00,177,JUDGE,CON3283S9,"DISOBEDIENCE/RESISTANCE OF AN OFFICER OF THE COURT, ETC.",,
2025-01727,M,W,44,7/3/2025  11:29:00 AM,,7/7/2025  11:29:00 AM,4.00,177,JUDGE,PRE5029S9,PRE-BAIL/PRETRIAL SERVICES TECHNICAL VIOLATION (CONTEMPT),,
2025-01728,M,W,22,7/3/2025  12:35:00 PM,,7/14/2025  8:00:00 AM,10.81,065,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-01729,M,B,34,7/3/2025  3:39:00 PM,,7/22/2025  3:33:00 PM,19.00,079,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01730,M,W,28,7/3/2025  5:28:00 PM,,11/18/2025  5:15:00 AM,137.49,137,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01731,F,W,31,7/3/2025  6:39:00 PM,,7/8/2025  12:30:00 PM,4.74,109,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01733,F,W,53,7/4/2025  4:54:00 AM,,7/4/2025  9:55:00 AM,1.00,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01733,F,W,53,7/4/2025  4:54:00 AM,,7/4/2025  9:55:00 AM,1.00,113,BOND,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-01734,M,W,31,7/4/2025  7:57:00 AM,,7/4/2025  4:52:00 PM,1.00,079,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01735,M,B,27,7/4/2025  10:05:00 AM,,7/8/2025  7:16:00 AM,3.88,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01735,M,B,27,7/4/2025  10:05:00 AM,,7/8/2025  7:16:00 AM,3.88,137,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01735,M,B,27,7/4/2025  10:05:00 AM,,7/8/2025  7:16:00 AM,3.88,137,JUDGE,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-01735,M,B,27,7/4/2025  10:05:00 AM,,7/8/2025  7:16:00 AM,3.88,137,JUDGE,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-01739,M,W,48,7/4/2025  5:21:00 PM,,7/5/2025  11:29:00 AM,1.00,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01739,M,W,48,7/4/2025  5:21:00 PM,,7/5/2025  11:29:00 AM,1.00,139,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01481,F,W,43,7/4/2025  6:00:00 PM,,7/6/2025  6:00:00 PM,2.00,137,JUDGE,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-01679,M,B,46,7/4/2025  6:00:00 PM,,7/5/2025  6:00:00 PM,1.00,137,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01736,F,W,42,7/4/2025  6:00:00 PM,,7/9/2025  6:00:00 PM,5.00,109,SENTENCE SERVED,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-01611,M,W,39,7/4/2025  7:00:00 PM,,7/5/2025  7:00:00 PM,1.00,065,SENTENCE SERVED,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-01612,M,W,31,7/4/2025  7:00:00 PM,,7/5/2025  7:00:00 PM,1.00,065,SENTENCE SERVED,LIC6808M2,TRAFFIC - OPERATOR'S LICENSE DRIVE WITHOUT A LICENSE,,
2025-01738,M,W,30,7/5/2025  12:05:00 AM,,7/5/2025  8:33:00 AM,1.00,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01738,M,W,30,7/5/2025  12:05:00 AM,,7/5/2025  8:33:00 AM,1.00,137,BOND,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-01740,M,W,33,7/5/2025  6:17:00 AM,,7/5/2025  5:29:00 PM,1.00,109,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-01741,M,W,36,7/5/2025  11:29:00 AM,,7/5/2025  3:53:00 PM,1.00,109,BOND,WIR3255F6,WIRE COMMUNICATIONS INTERCEPTION - DISCLOSURE OF WIRE OR ORAL COMMUNICATIONS,,
2025-01742,F,W,30,7/6/2025  1:30:00 AM,,7/6/2025  6:53:00 AM,1.00,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01743,M,W,32,7/6/2025  3:58:00 AM,,7/9/2025  10:33:00 PM,3.77,079,BOND,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-01743,M,W,32,7/6/2025  3:58:00 AM,,7/9/2025  10:33:00 PM,3.77,079,BOND,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-01744,M,W,18,7/6/2025  4:36:00 AM,,7/6/2025  1:27:00 PM,1.00,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01744,M,W,18,7/6/2025  4:36:00 AM,,7/6/2025  1:27:00 PM,1.00,137,BOND,DWI5416M1,"DWI - UNDER 21 YRS. OF AGE, ILLEGALLY CONSUME ALCOHOL",,
2025-01744,M,W,18,7/6/2025  4:36:00 AM,,7/6/2025  1:27:00 PM,1.00,137,BOND,LIC6808M2,TRAFFIC - OPERATOR'S LICENSE DRIVE WITHOUT A LICENSE,,
2025-01745,M,W,31,7/7/2025  12:30:00 AM,,7/7/2025  12:28:00 PM,1.00,079,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01746,M,W,21,7/7/2025  12:30:00 AM,,7/7/2025  6:54:00 AM,1.00,079,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-01747,M,W,47,7/7/2025  10:00:00 AM,,7/10/2025  8:57:00 PM,3.46,109,HOSPITAL/TREATMENT,RAP1144F9,"RAP-MENTAL INCAPACITY OR HELPLESSNESS,THROUGH THE USE OF",,
2025-01748,M,B,35,7/7/2025  10:24:00 AM,,10/6/2025  3:18:00 PM,91.20,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01749,M,W,37,7/7/2025  11:17:00 AM,,7/15/2025  11:29:00 AM,8.01,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01749,M,W,37,7/7/2025  11:17:00 AM,,7/15/2025  11:29:00 AM,8.01,047,JUDGE,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-01750,M,W,53,7/7/2025  11:28:00 AM,,8/11/2025  9:33:00 AM,34.92,047,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01750,M,W,53,7/7/2025  11:28:00 AM,,8/11/2025  9:33:00 AM,34.92,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01751,M,B,63,7/7/2025  11:29:00 AM,,7/19/2025  4:50:00 PM,12.22,137,OUT OF STATE,ARR9986S9,ARRESTS (FOR USE BY STATE POLICE) FELONY ARREST WITHOUT WARRANT,,
2025-01752,F,W,40,7/7/2025  12:31:00 PM,,7/14/2025  6:30:00 PM,7.25,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01753,M,W,32,7/7/2025  1:52:00 PM,,9/1/2025  8:00:00 AM,55.76,139,SENTENCE SERVED,CON3279S9,MISBEHAVIOR IN THE PRESENCE OF THE COURT,,
2025-01753,M,W,32,7/7/2025  1:52:00 PM,,9/1/2025  8:00:00 AM,55.76,139,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
