Booking #,Sex,Race,Age,Book Date,,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,,
2025-00034,M,W,50,1/4/2025  10:16:00 PM,,1/6/2025  2:54:00 PM,1.69,109,HOSPITAL/TREATMENT,WPN5281F5,WEAPONS FALSE STATEMENTS ON CONSENT FORM,,
2025-00031,F,W,19,1/4/2025  10:29:00 PM,,1/5/2025  6:09:00 AM,1.00,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00033,M,B,41,1/4/2025  11:28:00 PM,,1/5/2025  11:29:00 AM,1.00,079,BOND,DWI5478F6,DWI-DRIVING ON SUSP/LICENSE AFTER DWI CONVICTION 3RD IN 10YRS,,
2025-00035,M,W,32,1/5/2025  4:26:00 AM,,1/9/2025  10:38:00 AM,4.26,079,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00035,M,W,32,1/5/2025  4:26:00 AM,,1/9/2025  10:38:00 AM,4.26,079,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00036,M,B,42,1/5/2025  4:38:00 AM,,1/8/2025  5:18:00 PM,3.53,003,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-00037,F,W,34,1/5/2025  6:13:00 AM,,1/5/2025  7:49:00 AM,1.00,079,BOND,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00038,M,W,47,1/5/2025  10:00:00 AM,,1/5/2025  10:01:00 AM,1.00,113,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00039,F,W,64,1/5/2025  11:19:00 AM,,1/5/2025  5:00:00 PM,1.00,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00039,F,W,64,1/5/2025  11:19:00 AM,,1/5/2025  5:00:00 PM,1.00,109,BOND,RUA5326M2,RUA-OBSTRUCTION OF DUTIES,,
2025-00040,M,W,30,1/5/2025  7:00:00 PM,,1/6/2025  7:00:00 PM,1.00,065,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00041,M,W,22,1/6/2025  4:44:00 AM,,6/16/2025  2:58:00 PM,161.43,109,SENTENCE SERVED,BUR2219F6,BURGLARY OCCUPIED DWELLING - ENTER - INTENT TO COMMIT MISD.,,
2025-00041,M,W,22,1/6/2025  4:44:00 AM,,6/16/2025  2:58:00 PM,161.43,109,SENTENCE SERVED,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00041,M,W,22,1/6/2025  4:44:00 AM,,6/16/2025  2:58:00 PM,161.43,109,SENTENCE SERVED,VAN2922M1,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT - <$1000",,
2025-00043,M,W,30,1/6/2025  4:44:00 AM,,1/6/2025  12:48:00 PM,1.00,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00044,F,W,22,1/6/2025  12:13:00 PM,,1/6/2025  2:55:00 PM,1.00,079,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00045,M,W,50,1/6/2025  2:55:00 PM,,1/15/2025  6:06:00 PM,9.13,109,BOND,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-00045,M,W,50,1/6/2025  2:55:00 PM,,1/15/2025  6:06:00 PM,9.13,109,BOND,WPN5281F5,WEAPONS FALSE STATEMENTS ON CONSENT FORM,,
2025-00046,M,B,39,1/6/2025  9:25:00 PM,,2/24/2025  7:49:00 PM,48.93,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00047,M,W,62,1/7/2025  7:34:00 PM,,1/8/2025  6:37:00 AM,1.00,137,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
